RJA,LJA,rightEyebrowUpper,rightEyebrowLower,leftEyebrowUpper,leftEyebrowLower,rightEyeUpper0,rightEyeLower0,rightEyeUpper1,rightEyeLower1,rightEyeUpper2,rightEyeLower2,rightEyeLower3,leftEyeUpper0,leftEyeLower0,leftEyeUpper1,leftEyeLower1,leftEyeUpper2,leftEyeLower2,leftEyeLower3,lipsUpperOuter,lipsLowerOuter,lipsUpperInner,lipsLowerInner,nostrilLeft,nostrilRight
454,152,156.0,35.0,383.0,265.0,246.0,33.0,247.0,130.0,113.0,226.0,143.0,466.0,263.0,467.0,359.0,342.0,446.0,372.0,61,146.0,78,78,168.0,397.0
323,148,70.0,124.0,300.0,353.0,161.0,7.0,30.0,25.0,225.0,31.0,111.0,388.0,249.0,260.0,255.0,445.0,261.0,340.0,185,91.0,191,95,6.0,376.0
361,176,63.0,46.0,293.0,276.0,160.0,163.0,29.0,110.0,224.0,228.0,117.0,387.0,390.0,259.0,339.0,444.0,448.0,346.0,40,181.0,80,88,197.0,400.0
288,149,105.0,53.0,334.0,283.0,159.0,144.0,27.0,24.0,223.0,229.0,118.0,386.0,373.0,257.0,254.0,443.0,449.0,347.0,39,84.0,81,178,195.0,378.0
397,150,66.0,52.0,296.0,282.0,158.0,145.0,28.0,23.0,222.0,230.0,119.0,385.0,374.0,258.0,253.0,442.0,450.0,348.0,37,17.0,82,87,5.0,379.0
365,136,107.0,65.0,336.0,295.0,157.0,153.0,56.0,22.0,221.0,231.0,120.0,384.0,380.0,286.0,252.0,441.0,451.0,349.0,0,314.0,13,14,4.0,365.0
379,172,55.0,,285.0,,173.0,154.0,190.0,26.0,189.0,232.0,121.0,398.0,381.0,414.0,256.0,413.0,452.0,350.0,267,405.0,312,317,1.0,397.0
378,58,193.0,,417.0,,,155.0,,112.0,,233.0,128.0,,382.0,,341.0,,453.0,357.0,269,321.0,311,402,19.0,351.0
400,132,,,,,,133.0,,243.0,,244.0,245.0,,362.0,,463.0,,464.0,465.0,270,375.0,310,318,94.0,274.0
377,93,,,,,,,,,,,,,,,,,,,409,291.0,415,324,,
152,234,,,,,,,,,,,,,,,,,,,291,,308,308,,
